Unnamed: 0,name,latitude,longitude,street_1,street_2,city,state,zip-code,phone,fax,url
71,American Fork Hospital Occupational Therapy,40.3791709,-111.7690525,98 N 1100 E Ste 402,,American Fork,UT,84003,801-492-2405,801-492-2421,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/
72,American Fork Hospital Outpatient Lab,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-4441,801-855-4440,https://intermountainhealthcare.org/locations/american-fork-hospital/
73,American Fork Hospital Outpatient Nutrition Services,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3461,801-855-3430,https://intermountainhealthcare.org/locations/american-fork-hospital/medical-services/nutrition-services/
74,American Fork Hospital Phlebotomy,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-4441,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-phlebotomy/
75,American Fork Hospital Physical Medicine and Rehab Clinic,40.3791709,-111.7690525,98 N 1100 E Ste 103,,American Fork,UT,84003,801-492-2380,801-492-2401,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/intermountain-american-fork-specialty-clinic/american-fork-hospital-physical-medicine-and-rehab-clinic/
76,American Fork Hospital Pink Shop,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3479,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-pink-shop/
77,American Fork Hospital Pre-Registration,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,866-269-8674,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-pre-registration/
78,American Fork Hospital Psychiatry and Counseling,40.3791709,-111.7690525,98 N 1100 E,,American Fork,UT,84003,801-357-7525,Na,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/intermountain-american-fork-specialty-clinic/american-fork-hospital-psychiatry-and-counseling/
79,American Fork Hospital Respiratory Therapy,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3593,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-respiratory-therapy/
80,American Fork Hospital Sleep Testing Center,40.3791709,-111.7690525,98 N 1100 E Ste 301,,American Fork,UT,84003,801-855-4598,801-442-0432,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/intermountain-american-fork-specialty-clinic/american-fork-hospital-sleep-testing-center/
81,American Fork Hospital Speech Pathology,40.3791709,-111.7690525,98 N 1100 E Ste 402,,American Fork,UT,84003,801-492-2405,801-492-2421,https://intermountainhealthcare.org/locations/american-fork-hospital/medical-services/speech-therapy/
82,American Fork Hospital Surgical Services,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-4730,801-855-4845,https://intermountainhealthcare.org/locations/american-fork-hospital/medical-services/surgical-services/
83,American Fork Hospital Volunteer Services,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3506,801-855-3548,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-volunteer-services/
84,American Fork Hospital Women & Newborn,40.3804239,-111.7671837,170 N 1100 E,,American Fork,UT,84003,801-855-3603,801-855-4340,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/american-fork-hospital/american-fork-hospital-women-newborn/
85,American Fork Hospital Wound Care Clinic,40.3791709,-111.7690525,98 N 1100 E Ste 302,,American Fork,UT,84003,801-492-2261,801-492-2286,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/wound-clinic/
86,American Fork InstaCare,40.3791709,-111.7690525,98 N 1100 E Ste 101,,American Fork,UT,84003,801-492-2550,801-492-2576,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/instacare/
87,American Fork Maternal Fetal Medicine,40.3791709,-111.7690525,98 N 1100 E Ste 402,,American Fork,UT,84003,801-492-2425,801-442-0746,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/maternal-fetal-medicine/
88,American Fork Orthopedics,40.3791709,-111.7690525,98 N 1100 E Ste 103,,American Fork,UT,84003,801-492-2663,801-492-2375,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/
89,American Fork Pulmonary Clinic,40.3791709,-111.7690525,98 N 1100 E Ste 302,,American Fork,UT,84003,801-492-2270,801-442-0772,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/pulmonary-clinic-and-sleep-lab/
90,American Fork Specialty Clinic,40.3791709,-111.7690525,98 N 1100 E Ste 302,,American Fork,UT,84003,801-855-3300,801-492-2196,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/
91,American Fork Specialty Clinic Dermatology,40.3791709,-111.7690525,98 N 1100 E Ste 301,,American Fork,UT,84003,801-492-2300,801-492-2328,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/dermatology/
92,American Fork Specialty Clinic Draw Station,40.3791709,-111.7690525,98 N 1100 E Ste 302,,American Fork,UT,84003,801-492-2208,801-492-2287,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/
93,American Fork Specialty Clinic ENT,40.3791709,-111.7690525,98 N 1100 E Ste 203,,American Fork,UT,84003,801-492-2445,801-492-2470,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/ear-nose-throat-and-allergy/
94,American Fork Specialty Clinic Internal Medicine,40.3791709,-111.7690525,98 N 1100 E Ste 302,,American Fork,UT,84003,801-492-2200,801-492-2235,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/internal-medicine/
95,American Fork Surgical Associates,40.3791709,-111.7690525,98 N 1100 E Ste 202,,American Fork,UT,84003,801-492-2510,801-492-2537,https://intermountainhealthcare.org/locations/american-fork-specialty-clinic/medical-services/surgery/
96,American Fork Women's Health,40.3791709,-111.7690525,98 N 1100 E Ste 402,,American Fork,UT,84003,801-357-7009,801-357-3353,https://intermountainhealthcare.org/locations/location-details/american-fork-hospital/intermountain-american-fork-specialty-clinic/american-fork-women-s-health/
97,Avenues Brain and Spine,40.780547,-111.879515,324 10th Ave,,Salt Lake City,UT,84103,801-408-7500,801-408-5152,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-brain-and-spine/
98,Avenues Gastroenterology,40.780547,-111.879515,324 10th Ave Ste 100,,Salt Lake City,UT,84103,801-408-7500,801-408-5152,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-gastroenterology/
99,Avenues Internal Medicine,40.780547,-111.879515,324 10 th Ave Ste 200,,Salt Lake City,UT,84103,801-408-2888,801-408-2886,https://intermountainhealthcare.orghttps://intermountainhealthcare.org/locations/avenues-specialty-clinic/
100,Avenues Midwifery,40.780547,-111.879515,324 10th Ave Ste 200,,Salt Lake City,UT,84103,801-408-1440,801-408-1441,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-midwifery/
101,Avenues Orthopedics,40.780547,-111.879515,324 10th Ave Ste 100,,Salt Lake City,UT,84103,801-408-8700,801-408-8732,https://intermountainhealthcare.org/locations/avenues-specialty-clinic/medical-services/orthopedics/
102,Avenues Physical Therapy and Hand Care,40.780547,-111.879515,324 10th Ave Ste 100,,Salt Lake City,UT,84103,801-408-5735,801-408-1659,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-physical-therapy-and-hand-care/
103,Avenues Psychiatry and Counseling Services,40.780547,-111.879515,324 10th Ave Ste 178,,Salt Lake City,UT,84103,801-408-8500,801-408-8510,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-psychiatry-and-counseling-services/
104,Avenues Specialty Clinic,40.780547,-111.879515,324 10th Ave Ste 200,,Salt Lake City,UT,84103,801-408-7500,801-408-2886,https://intermountainhealthcare.orghttps://intermountainhealthcare.org/locations/avenues-specialty-clinic/
105,Avenues Specialty Clinic Urology,40.780547,-111.879515,324 10th Ave Ste 100,,Salt Lake City,UT,84103,801-408-3771,801-408-3772,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-specialty-clinic-urology/
106,Avenues Specialty OB/GYN,40.780547,-111.879515,324 10th Ave Ste 200,,Salt Lake City,UT,84103,801-408-5155,801-408-5156,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-specialty-ob-gyn/
107,Avenues Sports Medicine and Performance,40.780547,-111.879515,324 10th Ave Ste 100,,Salt Lake City,UT,84103,801-408-8700,801-408-3772,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-specialty-clinic/avenues-sports-medicine-and-performance/
108,Avenues Surgery Center,40.7785122,-111.8806211,359 8th Ave,,Salt Lake City,UT,84103,801-408-3200,801-408-3035,https://intermountainhealthcare.org/locations/location-details/lds-hospital/avenues-surgical-center-building-2/avenues-surgery-center/
109,Avenues Surgical Services,40.780547,-111.879515,324 10th Ave Ste 200,,Salt Lake City,UT,84103,801-408-7660,801-408-2886,https://intermountainhealthcare.orghttps://intermountainhealthcare.org/locations/avenues-specialty-clinic/medical-services/general-surgery/
110,Avenues Women's Center,40.7794204,-111.8784347,370 9th Ave Ste 205,,Salt Lake City,UT,84103,801-408-6100,801-408-6150,https://intermountainhealthcare.org/locations/avenues-womens-center/
111,Bear River Clinic,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
112,Bear River Clinic Cardiology,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/location-details/bear-river-valley-hospital/bear-river-clinic/
113,Bear River Clinic Dermatology,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
114,"Bear River Clinic Ear, Nose, Throat",41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
115,Bear River Clinic Family Medicine,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
116,Bear River Clinic General Surgery,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
117,Bear River Clinic Obstetrics Services,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
118,Bear River Clinic Spine Services,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
119,Bear River Clinic Urology,41.725669,-112.181325,935 N 1000 W,,Tremonton,UT,84337,435-207-4800,435-207-4808,https://intermountainhealthcare.org/locations/bear-river-clinic/
120,Bear River Valley Hospital,41.7259706,-112.1814638,905 N 1000 W,,Tremonton,UT,84337,435-207-4500,435-207-4715,https://intermountainhealthcare.org/locations/bear-river-valley-hospital/
